Order_ID,Order_Date,Customer_ID,Product_ID,Warehouse_ID,Quantity,Priority,Order_Status,Unit_Price,Order_Value
ORD000001,2025-06-29,CUST02653,PROD0154,WH10,297,Standard,Delivered,1391.33,413225.01
ORD000002,2025-01-20,CUST00447,PROD0014,WH05,107,Express,Delivered,1763.59,188704.13
ORD000003,2026-04-13,CUST00278,PROD0122,WH08,69,Critical,In Transit,2368.91,163454.79
ORD000004,2025-07-29,CUST02580,PROD0048,WH01,25,Express,Delivered,60.28,1507.0
ORD000005,2026-05-28,CUST01825,PROD0128,WH03,56,Critical,Backordered,1402.63,78547.28
ORD000006,2025-02-27,CUST01423,PROD0085,WH05,1,Critical,Delivered,2264.87,2264.87
ORD000007,2025-04-03,CUST00984,PROD0092,WH11,183,Critical,Delivered,1129.39,206678.37
ORD000008,2025-08-09,CUST02650,PROD0015,WH03,54,Standard,In Transit,1193.32,64439.28
ORD000009,2025-08-20,CUST02610,PROD0051,WH06,81,Standard,Cancelled,191.9,15543.9
ORD000010,2025-12-30,CUST02639,PROD0054,WH10,160,Express,In Transit,72.83,11652.8
ORD000011,2026-07-16,CUST01573,PROD0139,WH03,226,Standard,Cancelled,1868.92,422375.92
ORD000012,2026-01-09,CUST00059,PROD0108,WH06,264,Standard,Cancelled,1907.35,503540.4
ORD000013,2026-04-01,CUST00459,PROD0075,WH08,109,Standard,Cancelled,1880.91,205019.19
ORD000014,2025-03-29,CUST00104,PROD0028,WH04,44,Express,In Transit,2143.38,94308.72
ORD000015,2025-01-20,CUST00831,PROD0183,WH08,201,Critical,Delivered,2278.65,458008.65
ORD000016,2025-01-14,CUST00789,PROD0197,WH07,284,Standard,Cancelled,1491.41,423560.44
ORD000017,2025-05-13,CUST02152,PROD0200,WH11,147,Standard,Backordered,2107.67,309827.49
ORD000018,2025-02-03,CUST00742,PROD0154,WH11,199,Standard,Delivered,1391.33,276874.67
ORD000019,2025-07-27,CUST01573,PROD0128,WH04,234,Standard,Cancelled,1402.63,328215.42
ORD000020,2025-07-18,CUST02349,PROD0070,WH03,184,Standard,Delivered,1944.39,357767.76
ORD000021,2026-08-15,CUST02702,PROD0160,WH05,35,Standard,Backordered,1574.48,55106.8
ORD000022,2026-08-06,CUST00555,PROD0176,WH05,209,Standard,Backordered,2465.73,515337.57
ORD000023,2025-06-04,CUST00628,PROD0096,WH07,63,Standard,Delivered,1884.65,118732.95
ORD000024,2026-08-13,CUST01108,PROD0140,WH11,82,Standard,Delivered,1464.67,120102.94
ORD000025,2025-03-19,CUST02977,PROD0198,WH01,263,Standard,Delivered,961.51,252877.13
ORD000026,2025-06-21,CUST02408,PROD0103,WH09,255,Express,Backordered,1112.2,283611.0
ORD000027,2025-10-16,CUST02135,PROD0189,WH02,39,Standard,Backordered,2332.83,90980.37
ORD000028,2026-06-29,CUST00428,PROD0162,WH09,286,Standard,In Transit,2254.38,644752.68
ORD000029,2026-02-24,CUST02415,PROD0087,WH09,23,Standard,Cancelled,808.49,18595.27
ORD000030,2025-01-07,CUST02391,PROD0105,WH03,84,Express,Cancelled,887.02,74509.68
ORD000031,2025-06-09,CUST02395,PROD0109,WH07,206,Standard,Delivered,1551.27,319561.62
ORD000032,2025-08-28,CUST01827,PROD0081,WH03,95,Standard,Delivered,810.32,76980.4
ORD000033,2026-02-27,CUST01945,PROD0045,WH08,63,Standard,Delivered,501.54,31597.02
ORD000034,2026-06-20,CUST02144,PROD0112,WH08,137,Standard,Cancelled,1756.91,240696.67
ORD000035,2025-03-11,CUST01878,PROD0060,WH03,151,Critical,Delivered,2195.52,331523.52
ORD000036,2025-08-04,CUST01160,PROD0193,WH05,117,Standard,Cancelled,950.51,111209.67
ORD000037,2025-04-14,CUST01272,PROD0071,WH07,191,Standard,Cancelled,861.9,164622.9
ORD000038,2025-02-23,CUST00884,PROD0013,WH01,202,Standard,Delivered,2140.82,432445.64
ORD000039,2025-11-26,CUST00486,PROD0078,WH03,250,Standard,Delivered,2257.84,564460.0
ORD000040,2025-07-22,CUST01426,PROD0176,WH01,87,Critical,In Transit,2465.73,214518.51
ORD000041,2025-10-15,CUST00604,PROD0125,WH02,74,Standard,Cancelled,950.01,70300.74
ORD000042,2025-02-14,CUST00412,PROD0177,WH07,37,Standard,Cancelled,1749.93,64747.41
ORD000043,2025-07-17,CUST01995,PROD0098,WH07,125,Standard,In Transit,1977.2,247150.0
ORD000044,2025-08-04,CUST01932,PROD0091,WH03,166,Standard,Delivered,1585.12,263129.92
ORD000045,2026-04-26,CUST02496,PROD0186,WH06,1,Express,Delivered,1818.41,1818.41
ORD000046,2025-11-05,CUST00247,PROD0089,WH06,291,Standard,Delivered,2377.26,691782.66
