Product_ID,Product_Name,Category,Unit_Price,Unit_Weight_Kg,Supplier_ID
PROD0001,Product_0001,Industrial,2387.84,20.97,SUP022
PROD0002,Product_0002,Automotive,1848.67,11.77,SUP029
PROD0003,Product_0003,Automotive,1392.57,10.43,SUP008
PROD0004,Product_0004,Electronics,1535.13,6.91,SUP011
PROD0005,Product_0005,Consumer Goods,1057.71,1.5,SUP037
PROD0006,Product_0006,Industrial,630.61,21.63,SUP014
PROD0007,Product_0007,Home Appliances,899.59,20.34,SUP030
PROD0008,Product_0008,Automotive,1898.25,24.99,SUP035
PROD0009,Product_0009,Electronics,50.77,24.92,SUP021
PROD0010,Product_0010,Electronics,303.44,13.93,SUP037
PROD0011,Product_0011,Industrial,129.32,19.25,SUP005
PROD0012,Product_0012,Automotive,116.21,23.62,SUP019
PROD0013,Product_0013,Consumer Goods,2140.82,21.26,SUP014
PROD0014,Product_0014,Automotive,1763.59,6.26,SUP026
PROD0015,Product_0015,Industrial,1193.32,11.32,SUP004
PROD0016,Product_0016,Industrial,258.12,3.32,SUP025
PROD0017,Product_0017,Automotive,1236.67,23.86,SUP025
PROD0018,Product_0018,Industrial,1191.58,15.19,SUP018
PROD0019,Product_0019,Automotive,445.41,5.79,SUP040
PROD0020,Product_0020,Home Appliances,1093.12,16.83,SUP008
PROD0021,Product_0021,Automotive,1005.28,15.49,SUP039
PROD0022,Product_0022,Automotive,1545.39,9.02,SUP040
PROD0023,Product_0023,Industrial,1593.21,2.93,SUP014
PROD0024,Product_0024,Industrial,127.58,16.82,SUP032
PROD0025,Product_0025,Electronics,945.91,13.06,SUP038
PROD0026,Product_0026,Electronics,1570.26,19.33,SUP033
PROD0027,Product_0027,Home Appliances,1265.29,13.05,SUP023
PROD0028,Product_0028,Electronics,2143.38,21.32,SUP015
PROD0029,Product_0029,Automotive,1651.85,13.84,SUP033
PROD0030,Product_0030,Industrial,419.89,14.07,SUP025
PROD0031,Product_0031,Electronics,190.36,21.93,SUP017
PROD0032,Product_0032,Electronics,1611.41,10.15,SUP033
PROD0033,Product_0033,Home Appliances,80.88,3.44,SUP002
PROD0034,Product_0034,Home Appliances,1470.65,0.82,SUP014
PROD0035,Product_0035,Automotive,2351.47,18.9,SUP040
PROD0036,Product_0036,Industrial,1445.05,15.55,SUP040
PROD0037,Product_0037,Home Appliances,979.6,17.63,SUP039
PROD0038,Product_0038,Electronics,1613.57,5.4,SUP006
PROD0039,Product_0039,Industrial,1153.76,3.5,SUP006
PROD0040,Product_0040,Industrial,1370.86,0.46,SUP003
PROD0041,Product_0041,Electronics,2354.54,8.83,SUP007
PROD0042,Product_0042,Home Appliances,974.47,14.79,SUP008
PROD0043,Product_0043,Electronics,2403.56,9.87,SUP015
PROD0044,Product_0044,Industrial,2264.8,10.99,SUP029
PROD0045,Product_0045,Consumer Goods,501.54,22.61,SUP033
PROD0046,Product_0046,Consumer Goods,187.36,8.77,SUP030
PROD0047,Product_0047,Automotive,265.43,12.9,SUP039
PROD0048,Product_0048,Electronics,60.28,19.61,SUP027
PROD0049,Product_0049,Electronics,249.69,9.97,SUP036
PROD0050,Product_0050,Automotive,1712.27,15.59,SUP029
PROD0051,Product_0051,Automotive,191.9,21.57,SUP038
PROD0052,Product_0052,Automotive,807.65,23.74,SUP033
PROD0053,Product_0053,Industrial,2114.52,3.76,SUP037
PROD0054,Product_0054,Electronics,72.83,23.17,SUP027
PROD0055,Product_0055,Industrial,2038.95,12.35,SUP033
PROD0056,Product_0056,Automotive,715.41,6.53,SUP004
PROD0057,Product_0057,Electronics,308.64,11.53,SUP022
PROD0058,Product_0058,Industrial,1746.39,24.5,SUP002
PROD0059,Product_0059,Industrial,1577.92,12.37,SUP010
PROD0060,Product_0060,Automotive,2195.52,8.29,SUP005
PROD0061,Product_0061,Electronics,1841.65,15.87,SUP010
PROD0062,Product_0062,Automotive,2011.65,6.08,SUP033
PROD0063,Product_0063,Electronics,715.86,1.99,SUP038
PROD0064,Product_0064,Consumer Goods,455.94,3.31,SUP013
PROD0065,Product_0065,Home Appliances,1880.28,3.29,SUP031
PROD0066,Product_0066,Home Appliances,2019.98,3.88,SUP036
PROD0067,Product_0067,Home Appliances,2476.41,3.56,SUP024
PROD0068,Product_0068,Automotive,1040.35,16.06,SUP015
PROD0069,Product_0069,Consumer Goods,939.46,4.63,SUP029
PROD0070,Product_0070,Electronics,1944.39,8.71,SUP008
PROD0071,Product_0071,Industrial,861.9,22.43,SUP005
PROD0072,Product_0072,Electronics,2327.93,11.9,SUP029
PROD0073,Product_0073,Industrial,2148.16,16.72,SUP004
PROD0074,Product_0074,Electronics,1081.05,4.39,SUP012
PROD0075,Product_0075,Consumer Goods,1880.91,4.89,SUP002
PROD0076,Product_0076,Industrial,1890.04,1.12,SUP027
PROD0077,Product_0077,Automotive,271.26,4.31,SUP031
PROD0078,Product_0078,Electronics,2257.84,7.04,SUP036
PROD0079,Product_0079,Electronics,1270.55,4.51,SUP036
PROD0080,Product_0080,Industrial,2068.75,2.31,SUP026
PROD0081,Product_0081,Automotive,810.32,3.1,SUP027
PROD0082,Product_0082,Automotive,2240.38,11.57,SUP005
PROD0083,Product_0083,Consumer Goods,982.17,5.24,SUP020
PROD0084,Product_0084,Automotive,41.93,9.17,SUP011
PROD0085,Product_0085,Automotive,2264.87,12.64,SUP010
PROD0086,Product_0086,Automotive,241.85,17.29,SUP040
PROD0087,Product_0087,Home Appliances,808.49,1.08,SUP038
PROD0088,Product_0088,Consumer Goods,2375.9,20.01,SUP006
PROD0089,Product_0089,Electronics,2377.26,15.73,SUP008
PROD0090,Product_0090,Industrial,1439.99,2.14,SUP023
PROD0091,Product_0091,Electronics,1585.12,21.85,SUP026
PROD0092,Product_0092,Consumer Goods,1129.39,23.03,SUP012
PROD0093,Product_0093,Industrial,743.63,1.62,SUP026
PROD0094,Product_0094,Consumer Goods,831.73,6.99,SUP013
PROD0095,Product_0095,Automotive,1686.21,20.17,SUP040
PROD0096,Product_0096,Industrial,1884.65,18.73,SUP018
PROD0097,Product_0097,Automotive,1982.07,4.69,SUP025
PROD0098,Product_0098,Electronics,1977.2,5.31,SUP033
PROD0099,Product_0099,Electronics,241.65,9.32,SUP040
PROD0100,Product_0100,Industrial,1243.63,12.16,SUP012
PROD0101,Product_0101,Industrial,158.03,15.49,SUP036
PROD0102,Product_0102,Consumer Goods,1380.58,9.29,SUP004
PROD0103,Product_0103,Consumer Goods,1112.2,11.62,SUP005
PROD0104,Product_0104,Automotive,2220.94,18.71,SUP037
PROD0105,Product_0105,Industrial,887.02,1.01,SUP008
PROD0106,Product_0106,Electronics,305.91,6.39,SUP028
PROD0107,Product_0107,Consumer Goods,370.33,17.86,SUP031
PROD0108,Product_0108,Consumer Goods,1907.35,22.39,SUP009
PROD0109,Product_0109,Electronics,1551.27,12.84,SUP029
PROD0110,Product_0110,Consumer Goods,266.29,13.35,SUP014
PROD0111,Product_0111,Automotive,224.01,2.77,SUP040
PROD0112,Product_0112,Industrial,1756.91,11.24,SUP022
PROD0113,Product_0113,Electronics,195.82,13.36,SUP011
PROD0114,Product_0114,Industrial,2057.32,6.14,SUP023
PROD0115,Product_0115,Consumer Goods,1770.01,6.8,SUP001
PROD0116,Product_0116,Consumer Goods,217.15,9.49,SUP037
PROD0117,Product_0117,Electronics,225.82,0.6,SUP021
PROD0118,Product_0118,Automotive,2466.8,8.12,SUP026
PROD0119,Product_0119,Home Appliances,945.06,5.37,SUP036
PROD0120,Product_0120,Electronics,936.05,8.25,SUP023
PROD0121,Product_0121,Home Appliances,2034.81,3.08,SUP001
PROD0122,Product_0122,Home Appliances,2368.91,22.27,SUP040
PROD0123,Product_0123,Automotive,2465.21,14.88,SUP015
PROD0124,Product_0124,Home Appliances,1887.14,17.01,SUP021
PROD0125,Product_0125,Home Appliances,950.01,19.75,SUP009
PROD0126,Product_0126,Automotive,222.5,12.51,SUP009
PROD0127,Product_0127,Home Appliances,1946.21,2.26,SUP010
PROD0128,Product_0128,Home Appliances,1402.63,13.47,SUP026
PROD0129,Product_0129,Home Appliances,1069.19,14.71,SUP035
PROD0130,Product_0130,Electronics,2267.29,18.66,SUP025
PROD0131,Product_0131,Electronics,291.33,10.85,SUP026
