Order_ID,Order_Date,Customer_ID,Product_ID,Warehouse_ID,Quantity,Priority,Order_Status,Unit_Price,Order_Value,Shipment_ID,Supplier_ID,Origin_Warehouse_ID,Destination_City,Shipping_Mode,Shipping_Date,Expected_Delivery_Date,Actual_Delivery_Date,Shipment_Status,Delay_Days,Freight_Cost,Product_Name,Category,Unit_Weight_Kg,Supplier_ID_product,Supplier_Name,Country,City,Lead_Time_Days,Supplier_Rating,Unit_Cost_Index,Warehouse_Name,City_warehouse,State,Capacity_Units,Order_Lead_Time_Days,Shipping_Duration_Days,On_Time_Delivery
ORD000001,2025-06-29,CUST02653,PROD0154,WH10,297,Standard,Delivered,1391.33,413225.01,SHIP000001,SUP020,WH10,Kolkata,Road,2025-06-29,2025-07-31,2025-08-02,Delivered Late,2,82.2,Product_0154,Electronics,10.01,SUP020,Supplier_020,USA,Mumbai,30,3.9,0.94,Warehouse_10,Jaipur,Rajasthan,44160,34,34,No
ORD000002,2025-01-20,CUST00447,PROD0014,WH05,107,Express,Delivered,1763.59,188704.13,SHIP000002,SUP026,WH05,Hyderabad,Road,2025-01-22,2025-02-05,2025-02-08,Delivered Late,3,216.07,Product_0014,Automotive,6.26,SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9,Warehouse_05,Mumbai,Maharashtra,76373,19,17,No
ORD000003,2026-04-13,CUST00278,PROD0122,WH08,69,Critical,In Transit,2368.91,163454.79,SHIP000003,SUP040,WH08,Kolkata,Sea,2026-04-13,2026-04-23,2026-04-23,Delivered On Time,0,427.89,Product_0122,Home Appliances,22.27,SUP040,Supplier_040,Thailand,Bengaluru,5,4.7,0.9,Warehouse_08,Kolkata,West Bengal,92258,10,10,Yes
ORD000004,2025-07-29,CUST02580,PROD0048,WH01,25,Express,Delivered,60.28,1507.0,SHIP000004,SUP027,WH01,Hyderabad,Rail,2025-07-31,2025-08-30,2025-09-06,Delivered Late,7,299.99,Product_0048,Electronics,19.61,SUP027,Supplier_027,USA,Mumbai,27,3.5,1.05,Warehouse_01,Hyderabad,Telangana,50678,39,37,No
ORD000005,2026-05-28,CUST01825,PROD0128,WH03,56,Critical,Backordered,1402.63,78547.28,SHIP000005,SUP026,WH03,Pune,Rail,2026-05-28,2026-06-02,2026-06-05,Delivered Late,3,331.49,Product_0128,Home Appliances,13.47,SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9,Warehouse_03,Chennai,Tamil Nadu,83230,8,8,No
ORD000006,2025-02-27,CUST01423,PROD0085,WH05,1,Critical,Delivered,2264.87,2264.87,SHIP000006,SUP010,WH05,Vijayawada,Air,2025-03-01,2025-03-29,2025-03-31,Delivered Late,2,1647.29,Product_0085,Automotive,12.64,SUP010,Supplier_010,Vietnam,Tokyo,23,3.5,1.01,Warehouse_05,Mumbai,Maharashtra,76373,32,30,No
ORD000007,2025-04-03,CUST00984,PROD0092,WH11,183,Critical,Delivered,1129.39,206678.37,SHIP000007,SUP012,WH11,Chennai,Road,2025-04-05,2025-04-23,2025-05-03,Delivered Late,10,246.83,Product_0092,Consumer Goods,23.03,SUP012,Supplier_012,Vietnam,Mumbai,15,4.2,1.27,Warehouse_11,Visakhapatnam,Andhra Pradesh,99111,30,28,No
ORD000008,2025-08-09,CUST02650,PROD0015,WH03,54,Standard,In Transit,1193.32,64439.28,SHIP000008,SUP004,WH03,Hyderabad,Sea,2025-08-09,2025-08-22,2025-08-22,Delivered On Time,0,544.32,Product_0015,Industrial,11.32,SUP004,Supplier_004,Thailand,Tokyo,10,3.1,1.07,Warehouse_03,Chennai,Tamil Nadu,83230,13,13,Yes
ORD000009,2025-08-20,CUST02610,PROD0051,WH06,81,Standard,Cancelled,191.9,15543.9,SHIP000009,SUP038,WH06,Hyderabad,Road,2025-08-20,2025-09-07,2025-09-07,Delivered On Time,0,114.17,Product_0051,Automotive,21.57,SUP038,Supplier_038,USA,Mumbai,10,4.6,1.04,Warehouse_06,Pune,Maharashtra,51480,18,18,Yes
ORD000010,2025-12-30,CUST02639,PROD0054,WH10,160,Express,In Transit,72.83,11652.8,SHIP000010,SUP027,WH10,Pune,Road,2025-12-30,2026-01-29,2026-01-29,Delivered On Time,0,129.47,Product_0054,Electronics,23.17,SUP027,Supplier_027,USA,Mumbai,27,3.5,1.05,Warehouse_10,Jaipur,Rajasthan,44160,30,30,Yes
