Inventory_ID,Product_ID,Warehouse_ID,Stock_Units,Reorder_Level,Safety_Stock,Inventory_Date,Stock_Value
INV00001,PROD0035,WH02,3687,1318,523,2026-07-31,8669869.89
INV00002,PROD0096,WH12,596,1091,590,2025-08-27,1123251.4
INV00003,PROD0088,WH10,4545,1247,712,2025-02-07,10798465.5
INV00004,PROD0078,WH11,484,862,128,2025-01-25,1092794.56
INV00005,PROD0032,WH09,645,1273,482,2026-02-14,1039359.45
INV00006,PROD0120,WH07,3089,917,202,2026-04-06,2891458.45
INV00007,PROD0046,WH06,4757,1302,450,2026-07-25,891271.52
INV00008,PROD0144,WH01,4853,1250,328,2026-02-21,10547849.91
INV00009,PROD0196,WH01,4384,470,106,2025-12-23,1704455.36
INV00010,PROD0165,WH02,720,761,235,2026-01-18,1711274.4
INV00011,PROD0182,WH06,4733,1003,447,2025-06-07,1983600.3
INV00012,PROD0142,WH06,498,446,654,2026-07-23,471381.9
INV00013,PROD0055,WH02,4729,586,207,2026-03-09,9642194.55
INV00014,PROD0176,WH01,1673,901,742,2025-02-17,4125166.29
INV00015,PROD0007,WH10,3067,758,408,2025-11-24,2759042.53
INV00016,PROD0074,WH05,114,1172,489,2026-03-09,123239.7
INV00017,PROD0007,WH05,2979,1183,638,2026-03-07,2679878.61
INV00018,PROD0161,WH02,4769,551,515,2025-02-25,6996218.38
INV00019,PROD0151,WH06,1736,1479,712,2026-07-31,2302526.24
INV00020,PROD0085,WH09,3611,1445,495,2025-09-25,8178445.57
INV00021,PROD0147,WH02,2253,952,799,2025-03-10,101835.6
INV00022,PROD0112,WH10,2294,980,792,2026-08-24,4030351.54
INV00023,PROD0125,WH02,3630,1224,537,2026-03-25,3448536.3
INV00024,PROD0147,WH03,146,745,579,2025-09-14,6599.2
INV00025,PROD0036,WH07,3982,278,122,2026-05-05,5754189.1
INV00026,PROD0029,WH06,3453,1459,750,2025-02-18,5703838.05
INV00027,PROD0188,WH12,4507,533,66,2025-11-12,4751865.31
INV00028,PROD0082,WH08,2410,1088,580,2026-02-17,5399315.8
INV00029,PROD0002,WH08,136,1321,780,2026-03-10,251419.12
INV00030,PROD0129,WH06,3360,1305,375,2025-01-02,3592478.4
INV00031,PROD0047,WH12,3005,701,681,2025-05-25,797617.15
INV00032,PROD0197,WH11,3552,964,662,2026-01-01,5297488.32
INV00033,PROD0148,WH10,18,1120,595,2026-02-24,43652.7
INV00034,PROD0011,WH03,2242,749,645,2026-07-27,289935.44
INV00035,PROD0130,WH03,448,213,757,2026-07-15,1015745.92
INV00036,PROD0195,WH01,1948,591,251,2026-03-20,4808404.24
INV00037,PROD0119,WH07,945,509,393,2026-03-10,893081.7
INV00038,PROD0140,WH05,4236,585,572,2026-07-09,6204342.12
INV00039,PROD0020,WH04,1920,1432,449,2025-02-26,2098790.4
INV00040,PROD0005,WH10,2977,1173,267,2026-07-16,3148802.67
INV00041,PROD0037,WH04,4188,1317,494,2025-06-27,4102564.8
INV00042,PROD0166,WH04,4015,1316,271,2025-10-20,8942649.65
INV00043,PROD0137,WH06,238,539,432,2025-02-15,73077.9
INV00044,PROD0053,WH08,204,796,641,2025-06-19,431362.08
INV00045,PROD0172,WH08,2607,956,56,2025-09-28,2328259.56
INV00046,PROD0099,WH05,4340,1245,321,2026-02-21,1048761.0
INV00047,PROD0086,WH06,4927,490,788,2025-05-19,1191594.95
INV00048,PROD0108,WH04,3388,505,65,2025-09-04,6462101.8
INV00049,PROD0024,WH12,2972,833,473,2025-05-28,379167.76
INV00050,PROD0081,WH11,4390,1351,573,2025-08-18,3557304.8
INV00051,PROD0158,WH09,2687,824,70,2026-01-09,4685966.78
INV00052,PROD0120,WH08,4951,1138,739,2025-03-21,4634383.55
INV00053,PROD0059,WH10,4166,1496,277,2026-08-29,6573614.72
INV00054,PROD0128,WH12,1348,1047,337,2025-03-06,1890745.24
INV00055,PROD0114,WH10,4400,641,183,2025-03-29,9052208.0
INV00056,PROD0115,WH01,816,702,332,2025-03-29,1444328.16
INV00057,PROD0014,WH02,820,329,453,2025-07-23,1446143.8
INV00058,PROD0009,WH09,192,1355,714,2026-01-17,9747.84
INV00059,PROD0040,WH08,1776,796,115,2026-08-24,2434647.36
INV00060,PROD0194,WH03,3645,1061,698,2026-04-21,7396543.35
INV00061,PROD0025,WH08,4624,792,653,2026-07-27,4373887.84
INV00062,PROD0103,WH12,250,1198,486,2026-08-29,278050.0
INV00063,PROD0022,WH01,1788,524,308,2026-06-23,2763157.32
INV00064,PROD0004,WH10,3700,1292,152,2025-08-02,5679981.0
INV00065,PROD0154,WH04,2463,647,616,2025-03-15,3426845.79
INV00066,PROD0186,WH03,1167,1018,150,2025-03-02,2122084.47
INV00067,PROD0029,WH06,3893,1388,247,2026-06-27,6430652.05
INV00068,PROD0109,WH07,1096,908,275,2025-08-07,1700191.92
