Supplier_ID,Supplier_Name,Country,City,Lead_Time_Days,Supplier_Rating,Unit_Cost_Index
SUP001,Supplier_001,Thailand,Chennai,16,4.5,1.23
SUP002,Supplier_002,USA,Shanghai,18,3.0,0.86
SUP003,Supplier_003,Germany,Bengaluru,17,3.6,1.29
SUP004,Supplier_004,Thailand,Tokyo,10,3.1,1.07
SUP005,Supplier_005,Vietnam,Chennai,16,4.7,1.23
SUP006,Supplier_006,Germany,Delhi,25,4.2,1.29
SUP007,Supplier_007,Germany,Chennai,30,3.5,0.94
SUP008,Supplier_008,Thailand,Shanghai,27,2.9,0.82
SUP009,Supplier_009,China,Delhi,10,3.5,0.89
SUP010,Supplier_010,Vietnam,Tokyo,23,3.5,1.01
SUP011,Supplier_011,Thailand,Shanghai,18,4.4,1.24
SUP012,Supplier_012,Vietnam,Mumbai,15,4.2,1.27
SUP013,Supplier_013,Vietnam,Bengaluru,20,4.8,0.75
SUP014,Supplier_014,Germany,Tokyo,17,3.8,1.06
SUP015,Supplier_015,USA,Mumbai,23,3.1,1.0
SUP016,Supplier_016,Vietnam,Berlin,26,4.4,0.88
SUP017,Supplier_017,Japan,Tokyo,28,4.5,0.82
SUP018,Supplier_018,Germany,Berlin,27,4.0,0.95
SUP019,Supplier_019,China,Delhi,30,4.5,1.32
SUP020,Supplier_020,USA,Mumbai,30,3.9,0.94
SUP021,Supplier_021,Japan,Bengaluru,30,4.0,1.06
SUP022,Supplier_022,Japan,Shanghai,15,3.7,1.17
SUP023,Supplier_023,China,Hanoi,11,2.9,0.97
SUP024,Supplier_024,USA,Chennai,17,3.0,1.33
SUP025,Supplier_025,Germany,Hyderabad,15,2.9,1.33
SUP026,Supplier_026,India,Bengaluru,3,4.2,0.9
SUP027,Supplier_027,USA,Mumbai,27,3.5,1.05
SUP028,Supplier_028,China,Hanoi,9,3.9,0.93
SUP029,Supplier_029,Japan,Bengaluru,11,4.8,0.92
SUP030,Supplier_030,Germany,Mumbai,26,3.3,0.77
SUP031,Supplier_031,USA,Pune,3,3.7,1.12
SUP032,Supplier_032,India,Pune,14,4.5,1.05
SUP033,Supplier_033,India,Berlin,10,3.3,0.78
SUP034,Supplier_034,Vietnam,Bengaluru,26,3.0,0.92
SUP035,Supplier_035,Vietnam,Pune,13,3.4,1.29
SUP036,Supplier_036,Thailand,Mumbai,21,3.2,0.89
SUP037,Supplier_037,China,Berlin,19,4.8,0.84
SUP038,Supplier_038,USA,Mumbai,10,4.6,1.04
SUP039,Supplier_039,USA,Berlin,5,4.2,1.34
SUP040,Supplier_040,Thailand,Bengaluru,5,4.7,0.9
